timestamp,value
0,10.39394228
1,10.83118228
2,11.76830736
3,12.27595603
4,12.76176775
5,13.31011227
6,13.87310759
7,13.94243216
8,13.95833041
9,14.76849422
10,15.21575214
11,15.54524324
12,16.32286499
13,16.38604752
14,16.62347697
15,2.87511977
16,3.817381664
17,0.259013734
18,17.96644326
19,18.54512558
20,18.62571789
21,19.57663363
22,19.04340693
23,19.76961603
24,19.60439819
25,19.63492511
26,19.98778151
27,20.65426766
28,20.66480793
29,20.80811405
30,20.26016067
31,20.96044154
32,20.23846643
33,20.16952593
34,19.99128427
35,20.61306548
36,19.74956481
37,20.21331868
38,20.43396334
39,19.91212372
40,19.39766301
41,18.9520326
42,19.37307928
43,19.20982249
44,18.37399221
45,17.84060145
46,17.63428681
47,17.87316952
48,17.43203502
49,17.17155583
50,16.47041353
51,16.30862477
52,15.48848897
53,14.97533688
54,14.48348472
55,14.38017832
56,13.4906281
57,13.25687083
58,12.96228913
59,12.77467268
60,11.43322701
61,11.75970086
62,10.8033509
63,10.41094948
64,10.130662
65,9.626375373
66,9.290146372
67,8.16332505
68,8.196577654
69,7.952954608
70,7.089819157
71,6.450940555
72,6.264920538
73,5.575012397
74,5.17029415
75,5.234122261
76,4.049558788
77,3.840126979
78,3.746487992
79,3.508192039
80,2.931973553
81,2.81779039
82,2.804017625
83,2.167317501
84,1.424995233
85,1.438547801
86,1.496250547
87,0.797695279
88,0.606264716
89,0.829853025
90,0.242815774
91,0.910118974
92,0.240244165
93,0.980740751
94,0.587646191
95,0.221572287
96,0.750611451
97,0.516765863
98,0.332023757
99,0.592866774
100,1.403095446
101,1.148989926
102,1.585134367
103,1.130725986
104,1.745579441
105,1.897070728
106,2.19173304
107,2.051556066
108,2.390986153
109,2.680829178
110,3.629954808
111,4.1308735
112,3.993904411
113,5.062846207
114,4.664338894
115,5.711588866
116,6.29284193
117,6.020439158
118,6.741403527
119,7.353482912
120,7.952576011
121,8.256485644
122,8.708740044
123,8.723404745
124,9.364596113
125,10.66464342
126,10.53026922
127,10.94468811
128,12.04596519
129,11.71469718
130,12.46559008
131,13.41049149
132,13.38470299
133,13.65615465
134,14.69771845
135,14.79586207
136,15.85403816
137,16.19006156
138,16.5470846
139,16.75971547
140,17.27266964
141,17.50954908
142,17.32037035
143,18.0666409
144,17.98420231
145,19.12163989
146,19.08989006
147,19.41764385
148,19.5840398
149,19.21801882
150,20.10155662
151,20.38586918
152,20.19542503
153,20.6484359
154,20.29833359
155,20.58522961
156,20.73918774
157,20.53863307
158,20.18630607
159,20.15312811
160,20.11348004
161,20.03318593
162,20.35318727
163,20.28476998
164,19.78314529
165,19.80097671
166,19.40618406
167,19.25273395
168,18.60118529
169,18.37941241
170,18.70482181
171,18.47652087
172,17.58682229
173,17.75608021
174,16.75196633
175,16.7620983
176,16.48399118
177,15.66794547
178,15.3798615
179,15.42387916
180,14.36503023
181,13.94174678
182,14.03853186
183,12.76465484
184,12.83277935
185,11.87888892
186,12.18704015
187,11.57404666
188,10.95368581
189,10.60528396
190,10.1674993
191,9.538861951
192,9.032152564
193,7.980063012
194,7.657488547
195,6.869870538
196,6.776628301
197,6.634381449
198,6.142505213
199,5.554001212
200,5.139009121
201,4.216318278
202,3.764446203
203,4.292526119
204,3.471082405
205,2.664082177
206,3.048451428
207,2.028807717
208,1.9807802
209,1.802714353
210,2.047341048
211,1.527624514
212,1.486350461
213,1.246118116
214,0.815301657
215,0.949463944
216,0.744892919
217,0.831623841
218,0.470071415
219,1.000137404
220,0.175393853
221,0.813036596
222,0.741660414
223,0.736271581
224,1.008999687
225,0.950490759
226,0.670499161
227,1.558065597
228,1.072309957
229,1.221203722
230,1.944077575
231,2.013864334
232,2.739474198
233,2.451332721
234,3.000346138
235,3.485056318
236,3.512830363
237,4.165841268
238,4.209386994
239,4.437623491
240,5.221393571
241,5.612004054
242,5.639776615
243,6.204781964
244,7.153418264
245,7.564955961
246,7.774295277
247,7.941518605
248,9.05190838
249,9.399996877
250,9.912730754
251,10.58980662
252,10.91090415
253,11.37640882
254,11.93900222
255,12.67100256
256,13.1128304
257,13.11931002
258,13.93235919
259,14.20596502
260,14.36483779
261,14.96340228
262,15.52233545
263,15.87058293
264,16.62519094
265,16.5115902
266,17.26163365
267,17.34567415
268,18.26901867
269,17.81418391
270,18.35373804
271,19.21343593
272,19.16236524
273,19.58389683
274,19.25800231
275,19.46388467
276,20.37439151
277,19.71084042
278,20.09985808
279,20.79188987
280,20.31550297
281,20.60538055
282,20.06449575
283,20.42412837
284,20.01597458
285,20.17136639
286,20.26198881
287,19.97674789
288,20.31798606
289,20.11225249
290,20.07858999
291,19.2249642
292,19.92012478
293,19.04420658
294,18.9867345
295,18.98516519
296,18.6631511
297,18.27125453
298,18.06911084
299,16.9000592
300,17.49268686
301,17.0281794
302,16.18658411
303,15.31354545
304,15.22561315
305,14.89667719
306,13.97102924
307,13.53681749
308,13.49023532
309,12.59296467
310,12.6513139
311,12.33078051
312,12.02323529
313,11.07386941
314,10.8439923
315,10.34975617
316,9.836640378
